ID;Type;Question;Answer;Img_path
40;Aberta;"Em ""Harry Potter e a Pedra Filosofal"", Dumbledore, diretor de Hogwarts, desenvolveu a Pedra Filosofal em parceria com outro famoso bruxo, que bruxo foi esse?";Nicolau Flamel;
41;Aberta;"Em ""Harry Potter e o Cálice de Fogo"", Harry precesa cumprir três provas no Torneio Tribruxo. Na segunda prova Harry tem de passar uma hora debaixo da água. Qual a solução encontrada para respirar debaixo da água?";Ingestão de Guelrricho;
42;Aberta;"Em ""Harry Potter e o Cálice de Fogo"", Olho-Tonto Moody é o professor de Defesa Contra as Artes das Trevas. Um vilão faz-se passar pelo Moody. Quem é esse vilão?";Bartolomeu Crouch Jr.;
43;Aberta;Que tipo de criatura mágica ataca Dolores Umbridge em Harry Potter e a Ordem da Fênix?;Os centauros que vivem na floresta proibida.;
44;Aberta;Qual era o nome dos pais de Harry Potter?;Tiago e Lílian.;
45;Aberta;O que havia dentro do pomo de ouro herdado por Harry de Dumbledore?;A Pedra da Ressureição;
46;Aberta;Quem era o Píncipe Mestiço?;Severo Snape;
47;Aberta;No livro 5, quem se torna goleiro da Grifinória ?;Rony Weasley;
48;Aberta;O que Dolores obrigou Harry a escrever como castigo? ;Não devo contar mentiras;
49;Aberta;Qual o principal meio de destruir Horcruxes ?;Veneno de Basilisco;
50;Aberta;Por que a poção polissuco de Hermione não de certo no HP2?;Acidentalmente, ela colocou pêlos de gato na mistura.;
51;Aberta;Quais são as maldições imperdoáveis?;Avada kedavra!, imperio!, crucius!;
52;Aberta;QUEM descobriu o diário de Tom Ridlle?;Gina Weasley;
53;Aberta;O que mais mete medo em Harry Potter?;Dementadores;
54;Aberta;Quantas Horcruxes Harry destrói pessoalmente?;A única horcrux q Harry destrói pessoalmente é o diário de Tom Riddle. O anel é destruido por Dumbledore, o medalhão por Rony, a taça por Hermione, o diadema por Crabbe e Nagini por Neville.;
55;Aberta;"Em ""Harry Potter e o Prisioneiro de Azkaban"", Harry descobre que Sirius Black não é um assassino, e sim que tem parentesco com ele. O que Sirius é de Harry?";Padrinho;
56;Aberta;Quem foi o dono da Varinha das Varinhas depois de Dumbledore?;Draco Malfoy;
57;Aberta;"Em ""Harry Potter e as Relíquias da Morte"" Harry, Rony e Hermione assaltam o Gringotes com a ajuda de um duende, Griphook. De quem era o cofre arrombado e assaltado?";Bellatrix Lestrange;
58;Aberta;Ainda durante o Primeiro livro, Harry ganha uma vassoura da Profª Mcgonogall. Que vassoura era essa?;Nimbus 2000;
59;Aberta;Como é o nome do Hipogrifo apresentado por Hagrid à turma?;Bicuço;
60;Aberta;Como é o nome do grupo que Harry e seus amigos criam para estudarem Defesa contra as artes das trevas?;Armada de Dumbledore;
61;Aberta;De quem era o patrono que guiou Harry Potter até a espada de Griffyndor em Relíquias da Morte?;Severo Snape;
62;Aberta;Porque a Varinha das Varinhas não pode matar Harry no Final?;Porque a lealdade da varinha estava com Draco, que a tomou de Dumbledore. Quando Harry a tirou de Draco, sua lealdade passou para ele.;
63;Aberta;Quem mata Severo Snape em Harry Potter e as Relíquias da Morte?;Nagini;
64;Aberta;Qual o único(a) campeão(ã) tribruxo que não joga quadribol?;Fleur Delacour;
65;Aberta;Quem matou Dumbledore?;Severo Snape;
66;Aberta;Sirius Black é morto por Belatrix Lestrange. Qual o parentesco entre os dois?;Primos;
67;Aberta;Em Harry Potter e a Ordem da Fênix, Rony entra para a equipe de quadribol da Grifinória. Em qual posição ele joga?;Goleiro;
68;Aberta;"Complete: ""As últimas palavras de Severo Snape foram: Você tem os olhos da ___.""";Sua mãe;
69;Aberta;Qual foi a primeira Horcrux a ser destruída?;O diário de Tom Riddle;
70;Aberta;Para quê Voldemort criou as Horcruxes?;Para ser imortal;
71;Aberta;Quais são as horcruxes?;O diário de Tom Riddle, o Anel de Servolo Gaunt, o Medalhão, a taça da Lufa-Lufa, o Diadema de Rowena Ravenclaw, Nagini (a cobra), e Harry Potter;
72;Aberta;Qual o número da plataforma em que se pega o trem para Hogwarts?;plataforma 9 3/4 ;
73;Aberta;Em qual dos livros/filmes Alvo Dumbledore morre?;O engima do príncipe;
74;Aberta;Qual a posição do Harry no Quadribol?;Apanhador;
75;Aberta;Qual feitiço Hermione usa para consertar os óculos de Harry?;Oculus Reparo;
76;Aberta;Para que serve o feitiço Lumos?;Cria uma luz na ponta da varinha para servir de lanterna;
77;Aberta;Quando a câmara secreta é aberta, o que começa a acontecer com alguns alunos de Hogwards?;Aparecem petrificados;
78;Aberta;De qual maneira Harry consegue ouvir a dica que estava no ovo do dragão, no torneio Tribruxo?;Abrindo-o debaixo d'água;
79;Aberta;Na prova do lago, no torneio Tribruxo, a quem Harry resgata?;Rony e Gabrielle Delacour;
80;Aberta;Como se chama a coruja de Harry?;Edwiges;
81;Aberta;Qual o animal de estimação de Rony Weasley? Como se chama?;Um rato. Perebas.;
82;Aberta;De que matéria Snape é professor no primeiro ano de Harry em Hogwarts? ;Poções;
83;Aberta;Em que jogo de tabuleiro Ron Weasley é muito bom?;Xadrez;
84;Aberta;Quem mata o elfo Dobby em As Relíquias da Morte?;Belatrix Lestrange;
85;Aberta;Como Harry liberta Dobby da servidão aos Malfoy?;Ele coloca sua meia escondida dentro de um livro que o entrega para Lucius, que o entrega para Dobby o carregar.;
86;Aberta;Quem matou Belatrix Lestrange em As Relíquias da Morte?;Molly (ou Sra) Weasley;
87;Aberta;"Em ""Harry Potter e a câmara secreta"", onde fica localizada a entrada para a Câmara Secreta?   ";Na sala da Sonserina.;
88;Aberta;"Qual é o nome da Fênix de Dumbledore em ""Harry Potter e a Câmara Secreta""?  ";Fawker;
89;Aberta;"Em ""Harry Potter e a ordem da Fênix"", o oque ataca Harry Potter e Duda Dursley a caminho de casa?   ";Dois Dementadores.;
90;Aberta;"O feitiço ""Expecto Patronum"" serve para proteger contra...";Dementadores;
91;Aberta;Qual é o melhor remédio para um ataque de Dementadores?;Chocolate;
92;Aberta;Qual o formato do Patrono de Harry?;Veado;
93;Aberta;"Em ""Harry Potter e o Enigma do Príncipe"", em qual objeto o professor Horácio Slughorn estava disfarçado quando Dumbledore e Harry o encontram?";Sofá / Cadeira;
95;Cena;De qual filme é essa cena?;Harry Potter e o Cálice de Fogo;cena1.jpg
96;Cena;De qual filme é essa cena?;Harry Potter e a Ordem da Fênix;cena2.jpg
97;Personagem;Quem é esse personagem?;Rubeus Hagrid.;image001.jpg
98;Personagem;Quem é esse personagem?;Cornelius Fudge;image041.jpg
99;Personagem;Quem é esse personagem?;Luna Lovegood;image002.jpg
100;Personagem;Quem é esse personagem?;Xenophilius Lovegood;image040.jpg
101;Personagem;Quem é esse personagem?;Madame Rosmerta;image003.jpg
102;Personagem;Quem é esse personagem?;Sybil Trelawney;image039.jpg
103;Personagem;Quem é esse personagem?;Severus Snape;image004.jpg
104;Personagem;Quem é esse personagem?;Fleur Delacour;image038.jpg
105;Personagem;Quem é esse personagem?;Bill Weasley;image005.jpg
106;Personagem;Quem é esse personagem?;Seamus Finnigan;image037.jpg
107;Personagem;Quem é esse personagem?;Sr. Olivaras;image006.jpg
108;Personagem;Quem é esse personagem?;Kingsley Shacklebolt;image036.jpg
109;Personagem;Quem é esse personagem?;Barty Crouch Jr;image007.jpg
110;Personagem;Quem é esse personagem?;Lord Voldemort;image035.jpg
111;Personagem;Quem é esse personagem?;Bellatrix Lestrange;image008.jpg
112;Personagem;Quem é esse personagem?;Sirius Black;image034.jpg
113;Personagem;Quem é esse personagem?;Gilderoy Lockhart;image009.jpg
114;Personagem;Quem é esse personagem?;Vernon Dursley;image033.jpg
115;Personagem;Quem é esse personagem?;Draco Malfoy;image010.jpg
116;Personagem;Quem é esse personagem?;Cedric Diggory;image032.jpg
117;Personagem;Quem é esse personagem?;Viktor Krum;image011.jpg
118;Personagem;Quem é esse personagem?;Rufus Scrimgeour;image031.jpg
119;Personagem;Quem é esse personagem?;Marcus Flint;image012.jpg
120;Personagem;Quem é esse personagem?;Rita Skeeter;image030.jpg
121;Personagem;Quem é esse personagem?;Harry Potter;image013.jpg
122;Personagem;Quem é esse personagem?;Remus Lupin;image029.jpg
123;Personagem;Quem é esse personagem?;Dobby;image014.jpg
124;Personagem;Quem é esse personagem?;Neville Longbottom;image028.jpg
125;Personagem;Quem é esse personagem?;Nymphadora Tonks;image015.jpg
126;Personagem;Quem é esse personagem?;Argus Filch;image027.jpg
127;Personagem;Quem é esse personagem?;Albus Dumbledore;image016.jpg
128;Personagem;Quem é esse personagem?;Narcissa Malfoy;image026.jpg
129;Personagem;Quem é esse personagem?;Minerva McGonagall;image017.jpg
130;Personagem;Quem é esse personagem?;Tom Ryddle;image025.jpg
131;Personagem;Quem é esse personagem?;Horace Slughorn;image018.jpg
132;Personagem;Quem é esse personagem?;Cho Chang;image024.jpg
133;Personagem;Quem é esse personagem?;Lucius Malfoy;image019.jpg
134;Personagem;Quem é esse personagem?;Hermione Granger;image023.jpg
135;Personagem;Quem é esse personagem?;Peter Pettigrew;image020.jpg
136;Personagem;Quem é esse personagem?;Dolores Umbridge;image022.jpg
137;Personagem;Quem é esse personagem?;Alastor Moody;image021.jpg
138;Cena;De qual filme é essa cena?;Harry Potter e a Pedra Filosofal;cena3.jpg
139;Cena;De qual filme é essa cena?;Harry Potter e a Pedra Filosofal;cena4.jpg
140;Cena;De qual filme é essa cena?;Harry Potter e as Relíquias da Morte - Parte 1;cena5.jpg
141;Cena;De qual filme é essa cena?;Harry Potter e o Prisioneiro de Azkaban;cena6.jpg
142;Cena;De qual filme é essa cena?;Harry Potter e o Cálice de Fogo;cena7.jpg
143;Cena;De qual filme é essa cena?;Harry Potter e a Câmara Secreta;cena8.jpg
144;Cena;De qual filme é essa cena?;Harry Potter e o Prisioneiro de Azkaban;cena9.jpg
145;Cena;De qual filme é essa cena?;Harry Potter e o Cálice de Fogo;cena10.jpg
146;Cena;De qual filme é essa cena?;Harry Potter e o Enígma do Príncipe;cena11.jpg
147;Cena;De qual filme é essa cena?;Harry Potter e as Relíquias da Morte - Parte 1;cena12.jpg
148;Cena;De qual filme é essa cena?;Harry Potter e as Relíquias da Morte - Parte 2;cena13.jpg
149;Cena;De qual filme é essa cena?;Harry Potter e a Ordem da Fênix;cena14.jpg
150;Cena;De qual filme é essa cena?;Harry Potter e o Cálice de Fogo;cena15.jpg
151;Cena;De qual filme é essa cena?;Harry Potter e o Prisioneiro de Azkaban;cena16.jpg
152;Cena;De qual filme é essa cena?;Harry Potter e o Enígma do Príncipe;cena17.jpg
153;Cena;De qual filme é essa cena?;Harry Potter e o Prisioneiro de Azkaban;cena18.jpg
154;Cena;De qual filme é essa cena?;Harry Potter e as Relíquias da Morte - Parte 2;cena19.jpg
155;Cena;De qual filme é essa cena?;Harry Potter e a Câmara Secreta;cena20.jpg
156;Cena;De qual filme é essa cena?;Harry Potter e a Câmara Secreta;cena21.jpg
157;Cena;De qual filme é essa cena?;Harry Potter e a Pedra Filosofal;cena22.gif
158;Cena;De qual filme é essa cena?;Harry Potter e as Relíquias da Morte - Parte 1;cena23.gif
159;Cena;De qual filme é essa cena?;Harry Potter e a Ordem da Fênix;cena24.gif
160;Cena;De qual filme é essa cena?;Harry Potter e a Pedra Filosofal;cena25.gif
161;Aberta;Em Harry Potter e a Câmara Secreta, em qual festa de aniversário Harry, Ron e Hermione vão?;Nick quase sem Cabeça;
162;Aberta;Qual o patrono de Luna Lovegood?;Coelho/Lebre;
163;Aberta;Em Harry Potter e a Câmara Secreta, qual feitiço é usado para salvar Hermione do troll, no banheiro?;Wingardium leviosa;
164;Aberta;De qual crime Hagrid foi acusado e mandado para Azkaban?;Abrir a câmara secreta;
165;Aberta;Qual forma o bicho papão de Neville Longbottom tomou?;Do Professor Snape;
166;Aberta;Qual forma o bicho papão do Harry Potter tomou?;De um dementador;
167;Aberta;Quantos pontos valem para o time que pegar o pomo de ouro no quadribol?;150 pontos;
168;Aberta;No segundo ano, Harry e Ron perderam o trem para Hogwards. Como eles foram para a escola?;Voando em um carro;
169;Aberta;Qual a posição do Harry Potter no quadribol?;Apanhador;
170;Aberta;Quando Harry Potter entrou para o time de quadribol, quem era o capitão da Grifinória?;Oliver Wood;
171;Aberta;Quais os dizeres limpam o Mapa Maroto?;Malfeito feito;
172;Aberta;Qual o apelido de Sirius Black?;Almofadinhas;
173;Aberta;Qual o apelido de Pedro Pettigrew?;Rabicho;
174;Aberta;Quem foi buscar Harry quando ele estava com idade suficiente para ir para Hogwards?;Hagrid;
175;Aberta;O que os tios de Harry Potter dão a ele todo Natal?Uma blusa de frio;
176;Aberta;Onde a Armada Dumbledore se reunia secretamente?;Na sala precisa;
177;Aberta;O que o feitiço Wingardium Leviosa faz?;Levita objetos/pessoas;
178;Aberta;Com qual tipo de animal Harry Potter pode conversar?;Cobras;
179;Aberta;Quais criaturas mágicas vigiam Azkaban?;Os dementadores;
180;Aberta;Como são chamados os seguidores de Lord Voldemort?;Començais da Morte;
181;Aberta;Como Draco Malfoy chama Hermione?;Sangue ruim;
182;Aberta;Que criatura mágica está escondida na Câmara Secreta?;O basilisco;
183;Aberta;A varinha de Harry Potter é irmã da varinha de quem?;Lord Voldemort;
184;Aberta;Com qual peça do Xadrez Ron Weasley joga em Harry Potter e a Pedra filosofal?;Cavalo;
185;Aberta;De acordo com a lenda, quem pode abrir a Câmara Secreta?;O Herdeiro de Sonserina;
